address,tags,balance,assets,winrate,roi,avg_roi,median_roi,profit,unrealized_profit,buy_volume,median_hold_duration,avg_buy_amount,avg_buys_per_trade,buys,sells,1500%,500% to 1500%,200% to 500%,0% to 200%,-50% to 0%,-100% to 50%,flag_presale,flag_pump_fun,flag_sold_more,flag_snipes,timestamp
D6KzGdWN2jwhWi4jwP1ns22ukfS69EDCkcMVA4CUf555,,16.31,0.0,71.43,289.16,354.03,107.52,14.11,0.0,4.88,794,0.7,1.14,7,19,0,3,0,2,1,1,1,0,1,0,2024-11-24 16:38:12
F8YeeAQCnzqj97ZFyrwzkMBSoPjVbTKWVsbqycUzSVmf,#Alpha,1.6,0.0,90.0,262.02,263.87,196.56,27.19,0.39,10.52,65236,0.96,1.0,11,25,0,1,3,2,1,0,1,0,1,0,2024-11-24 16:39:06
8MNzSQL6g4yjcUTBwxPjxDTLvJ975MLWBxGtP6gT1poq,#Alpha,1.01,0.0,87.5,231.19,203.79,168.38,5.91,0.0,2.56,1012,0.32,1.12,8,8,0,0,2,5,1,0,1,0,1,0,2024-11-24 16:39:08
Cwt55b2sWWA4KxjD6sFtyUYGEK2o771SmzH4KkYKgRFr,,1.02,0.01,58.33,221.95,254.86,17.57,6.9,,3.07,37119,0.22,1.17,14,16,1,0,0,4,0,3,1,0,1,0,2024-11-24 16:39:10
4wQK7uKqPPNL4S5eAA2o3Cb8E3PoVrF93MeqxKEEggnH,,26.64,0.09,57.14,188.47,154.61,59.01,26.94,,13.0,13942,1.86,1.0,7,9,0,1,1,2,2,1,1,0,1,0,2024-11-24 16:41:03
CzbG7gckXMG4MqCzXsvgij1dNTqbB5x6mNGcZnfCX9EF,,0.62,1.06,60.0,75.24,274.29,29.57,1.52,3.98,7.31,383248,0.81,1.4,9,5,0,1,0,2,0,1,1,0,1,0,2024-11-24 16:41:06
GGRcjZYQKmtzanUA4YQKXjw63D2kfp3tpRo48dCQZfhG,,7.47,263.66,58.33,1447.95,1447.95,36.3,7.48,,31.95,33862,2.0,1.08,16,12,1,1,1,3,0,1,1,0,1,0,2024-11-24 16:42:14
8426PjeD4gKGphaPvncMPP5gerHac6vyqbzC83X7DSJ6,,0.81,0.03,70.0,137.36,171.18,27.56,9.35,,6.7,38139,0.61,1.1,11,17,0,1,0,3,2,1,1,0,1,0,2024-11-24 16:43:58
6yCKcc4FestHZvAaf2wcFHVy1XN5XXbuWqrRztAwGjyK,,3.39,0.0,75.0,96.56,141.21,90.29,3.85,0.0,3.99,660,0.5,1.12,8,19,0,0,3,3,2,0,1,0,1,0,2024-11-24 16:43:59
Ghgp99wmhLe3cTySjNPXBeMqtyqukTuYtrjEf3fafrPx,,3.23,0.0,71.43,98.66,82.6,56.92,2.3,0.0,2.33,38708,0.33,1.14,7,11,0,0,1,4,2,0,1,0,1,0,2024-11-24 16:46:47
